number,id,state,assignee,user,tags,time,activity
86,73,closed,,6634187,,2019-04-13 14:13:43,open_issue
86,73,closed,,6634187,,2019-05-17 13:57:52,change_issue
86,73,closed,,6634187,,2019-05-17 13:57:52,close_issue
87,72,closed,,13497689,,2019-04-12 17:40:17,open_issue
87,72,closed,,13497689,,2019-04-12 17:42:22,change_issue
87,72,closed,,13497689,,2019-04-12 17:42:22,close_issue
88,71,closed,,11425202,bug,2019-04-12 09:13:37,open_issue
88,71,closed,,11425202,bug,2019-04-15 06:21:16,change_issue
88,71,closed,,11425202,bug,2019-04-15 06:21:16,close_issue
89,70,closed,,13497689,,2019-04-11 08:21:03,open_issue
89,70,closed,,13497689,,2019-04-11 10:26:44,change_issue
89,70,closed,,13497689,,2019-04-11 10:26:44,close_issue
90,69,closed,,6236151,enhancement,2019-04-08 12:58:52,open_issue
90,69,closed,,6236151,enhancement,2019-10-27 15:01:51,change_issue
90,69,closed,,6236151,enhancement,2019-10-27 15:01:51,close_issue
91,68,closed,,41383598,bug,2019-03-26 13:46:52,open_issue
91,68,closed,,41383598,bug,2019-03-29 12:33:10,change_issue
91,68,closed,,41383598,bug,2019-03-29 12:33:10,close_issue
92,67,closed,,6236151,bug,2019-03-25 13:50:09,open_issue
92,67,closed,,6236151,bug,2019-03-29 12:33:03,change_issue
92,67,closed,,6236151,bug,2019-03-29 12:33:03,close_issue
93,66,closed,6236151,6236151,invalid,2019-03-25 10:32:42,open_issue
93,66,closed,6236151,6236151,invalid,2019-03-29 12:32:26,change_issue
93,66,closed,6236151,6236151,invalid,2019-03-29 12:32:26,close_issue
93,66,closed,41383598,6236151,invalid,2019-03-25 10:32:42,open_issue
93,66,closed,41383598,6236151,invalid,2019-03-29 12:32:26,change_issue
93,66,closed,41383598,6236151,invalid,2019-03-29 12:32:26,close_issue
94,65,closed,,28267141,,2019-03-17 11:19:47,open_issue
94,65,closed,,28267141,,2019-03-17 11:23:20,change_issue
